annotation,count
putative recombination limiting protein RmuC,1
cobalamin-independent homocysteine transmethylase,1
DNA-binding transcriptional dual regulator MetR,1
inner membrane protein YigG,1
DUF2628 domain-containing protein YigF,1
Ni(2(+))/Co(2(+))/Mg(2(+)) transporter,1
MULTISPECIES: hemolysin III,1
ISLre2-like element ISAnhy1 family transposase,1
LplA protein,1
ISLre2-like element ISAmo1 family transposase,1
IS5-like element ISShsa1 family transposase,1
"alpha amylase family protein, partial",1
"heparin-sulfate lyase HepC, partial",1
ilvXGMEDA operon leader peptide,1
amino acid transporter LysE,1
"hemagglutinin family protein, partial",1
DUF484 domain-containing protein YigA,1
frataxin CyaY,1
PF04375 family protein HemX,1
protein HemY,1
putative sulfatase AslA,1
enterobacterial common antigen polymerase,1
lipid IIIECA flippase,1
dTDP-4-dehydro-6-deoxy-D-glucose transaminase,1
glucose-1-phosphate thymidylyltransferase 2,1
enterobacterial common antigen polysaccharide co-polymerase,1
ketol-acid reductoisomerase (NADP(+)),1
DNA-binding transcriptional dual regulator IlvY,1
acetolactate synthase II subunit IlvM,1
MULTISPECIES: channel protein TolC,1
regulator of ribonuclease activity A,1
formate dehydrogenase H,1
Sel1 repeat-containing protein YjcO,1
glutamate/aspartate : H(+) symporter GltP,1
putative formate-dependent nitrite reductase complex subunit NrfG,1
putative formate-dependent nitrite reductase complex subunit NrfF,1
putative cytochrome c-type biogenesis protein NrfE,1
putative menaquinol-cytochrome c reductase subunit NrfD,1
putative menaquinol-cytochrome c reductase 4Fe-4S subunit,1
periplasmic nitrite reductase penta-heme c-type cytochrome,1
cytochrome c552 nitrite reductase,1
acetyl-CoA synthetase (AMP-forming),1
DUF485 domain-containing inner membrane protein YjcH,1
acetate/glycolate:cation symporter,1
putative PTS enzyme IIB component FrwB,1
putative transporter YjcE,1
UvrABC excision nuclease subunit A,1
PF04237 family protein YjbR,1
PF01894 family protein YjbQ,1
alanine racemase 1,1
putative quinone oxidoreductase 1,1
putative multidrug efflux pump outer membrane channel,1
maltose outer membrane channel/phage lambda receptor protein,1
maltose ABC transporter ATP binding subunit,1
maltose ABC transporter periplasmic binding protein,1
maltose ABC transporter membrane subunit MalF,1
maltose ABC transporter membrane subunit MalG,1
DNA-binding transcriptional dual regulator SoxR,1
DNA-binding transcriptional dual regulator SoxS,1
pentapeptide repeat-containing protein YjcF,1
dipeptide/tripeptide:H(+) symporter DtpC,1
antitoxin of the GhoTS toxin-antitoxin system,1
putative N-acetyltransferase YjdJ,1
PF06902 family protein YjdI,1
DNA-binding transcriptional dual regulator BasR,1
sensor histidine kinase BasS,1
osmolyte:H(+) symporter ProP,1
regulator of diguanylate cyclase RdcB,1
regulator of diguanylate cyclase RdcA,1
PF06983 family protein YjdN,1
phosphonate/phosphate ABC transporter ATP binding subunit,1
phosphonate/phosphate ABC transporter periplasmic binding protein,1
putative transcriptional regulator PhnF,1
carbon-phosphorus lyase core complex subunit PhnG,1
"putative citrate lyase, beta subunit",1
carbon-phosphorus lyase core complex subunit PhnI,1
DNA-binding transcriptional repressor AlsR,1
D-allose ABC transporter periplasmic binding protein,1
D-allose ABC transporter ATP binding subunit,1
D-allose ABC transporter membrane subunit,1
D-allose kinase,1
linear primary-alkylsulfatase,1
putative multidrug efflux pump membrane fusion protein,1
putative multidrug efflux pump subunit MdtO,1
carbon-phosphorus lyase core complex subunit PhnJ,1
carbon-phosphorus lyase ATP-binding protein PhnL,1
RPnTP hydrolase,1
"ribose 1,5-bisphosphate phosphokinase",1
allose-6-phosphate isomerase/ribose-5-phosphate isomerase B,1
"catechol 1,2-dioxygenase 1",1
carbon-phosphorus lyase core complex subunit PhnH,1
2-iminoacetate synthase,1
protein YjaZ,1
RNA polymerase subunit beta',1
RNA polymerase subunit beta,1
50S ribosomal subunit protein L12,1
Sec translocon subunit SecE,1
translation elongation factor Tu 2,1
"NAD-dependent epimerase/dehydratase, partial",1
DNA-binding transcriptional repressor/biotin-,1
cobalamin outer membrane transporter,1
DUF1422 domain-containing inner membrane protein YijD,1
DNA-binding transcriptional dual regulator OxyR,1
N-acetylglutamylphosphate reductase,1
phosphoethanolamine transferase EptC,1
cyclic di-GMP phosphodiesterase PdeC,1
cystine exporter,1
catalase/hydroperoxidase HPI,1
fused aspartate kinase/homoserine dehydrogenase 2,1
O-succinylhomoserine(thiol)-lyase/O-succinylhomoserine lyase,1
DNA-binding transcriptional repressor MetJ,1
putative lipid-binding hydrolase YiiX,1
"plasmid transfer protein TraA, partial",1
universal stress protein D,1
DUF406 domain-containing protein YiiS,1
DUF805 domain-containing protein YiiR,1
DUF1454 domain-containing protein YiiQ,1
putative PTS enzyme IIB component FrwD,1
putative pyruvate formate-lyase 2 activating enzyme PflC,1
putative formate acetyltransferase 2,1
putative DNA-binding transcriptional regulator YijO,1
uncharacterized protein YjcB,1
DUF2713 domain-containing protein YjbM,1
uncharacterized protein YjbL,1
DNA-binding transcriptional repressor Zur,1
putative stress response protein YjbJ,1
DNA damage-inducible protein F,1
DNA-binding transcriptional repressor LexA,1
D-xylose:H(+) symporter,1
putative phosphate starvation-inducible protein PsiE,1
putative lipoprotein YjbH,1
capsule biosynthesis GfcC family protein YjbG,1
lipoprotein YjbF,1
uncharacterized protein YjbE,1
DUF3811 domain-containing protein YjbD,1
1-deoxy-D-xylulose 5-phosphate:thiol sulfurtransferase,1
putative inorganic phosphate export protein YjbB,1
cobalamin-dependent methionine synthase,1
DNA-binding transcriptional repressor IclR,1
ankyrin-like regulator,1
bifunctional AICAR transformylase/IMP cyclohydrolase,1
DNA-binding transcriptional activator ZraR,1
sensor histidine kinase ZraS,1
signaling pathway modulator ZraP,1
DUF1481 domain-containing protein YjaH,1
DUF416 domain-containing protein YjaG,1
"plasmid transfer protein TraB, partial",1
"SARP family transcriptional regulator, partial",1
"thioesterase, partial",1
peptidyl-lysine N-acetyltransferase YjaB,1
sulfur carrier protein ThiS adenylyltransferase,1
23S rRNA pseudouridine(2604) and tRNA(Tyr) pseudouridine(35) synthase,1
"MULTISPECIES: DUF4192 domain-containing protein, partial",1
peptidyl-lysine N-acetyltransferase YiaC,1
"3-methyl-adenine DNA glycosylase I, constitutive",1
putative outer membrane protein YhjY,1
ATP synthase F0,1
"GcrA cell cycle regulator, partial",1
"cellulose biosynthesis protein BcsD, partial",1
PF10945 family protein YhjR,1
cellulose synthase periplasmic subunit,1
c-di-GMP phosphodiesterase PdeK,1
C4 dicarboxylate/orotate:H(+) symporter,1
peptidase M16 family protein YhjJ,1
cyclic di-GMP phosphodiesterase PdeH,1
AsmA family protein YhjG,1
cryptic beta-glucoside specific PTS enzyme II/BglG kinase/BglG phosphatase,1
putative transporter YhjD,1
putative DNA-binding transcriptional regulator YhjC,1
putative DNA-binding transcriptional regulator YhjB,1
"flagellar protein FlbT, partial",1
DNA-binding transcriptional dual regulator GadX,1
DNA-binding transcriptional dual regulator GadW,1
multidrug efflux pump membrane fusion protein MdtE,1
DNA-binding transcriptional activator GadE,1
periplasmic acid stress chaperone HdeA,1
periplasmic acid stress chaperone HdeB,1
inner membrane protein YhiD,1
putative DNA-binding transcriptional regulator DctR,1
starvation lipoprotein,1
arsenite/antimonite:H(+) antiporter,1
putative transporter YhjE,1
L-ribulose-5-phosphate 4-epimerase SgbE,1
putative L-xylulose 5-phosphate 3-epimerase,1
3-keto-L-gulonate-6-phosphate decarboxylase SgbH,1
L-xylulose kinase,1
"2,3-diketo-L-gulonate:Na(+) symporter - periplasmic binding protein",1
DUF386 domain-containing protein YiaL,1
DNA-binding transcriptional repressor PlaR,1
"putative sugar O-methyltransferase, partial",1
xylose ABC transporter ATP binding subunit,1
xylose ABC transporter periplasmic binding protein,1
PF05360 family inner membrane protein YiaB,1
PF05360 family inner membrane protein YiaA,1
O-acetyltransferase WecH,1
IS150 conserved protein InsB,1
c-di-GMP-binding protein BcsE,1
putative DNA-binding transcriptional regulator YiaG,1
DUF3053 domain-containing protein YiaF,1
"chitin-binding protein, partial",1
DNA-binding transcriptional dual regulator XylR,1
xylose ABC transporter membrane subunit,1
putative transporter YhjX,1
phosphoethanolamine transferase EptB,1
dipeptide ABC transporter periplasmic binding protein,1
dipeptide ABC transporter membrane subunit DppB,1
dipeptide ABC transporter membrane subunit DppC,1
dipeptide ABC transporter ATP binding subunit DppD,1
dipeptide ABC transporter ATP binding subunit DppF,1
putative transporter YhjV,1
cellulose phosphoethanolamine transferase,1
putative cellulose biosynthesis protein BcsF,1
insertion element IS150 protein InsA,1
sn-glycerol 3-phosphate ABC transporter periplasmic binding protein,1
sn-glycerol 3-phosphate ABC transporter membrane subunit UgpA,1
sn-glycerol 3-phosphate ABC transporter membrane subunit UgpE,1
sn-glycerol 3-phosphate ABC transporter ATP binding subunit,1
glycerophosphodiester phosphodiesterase UgpQ,1
DUF2756 domain-containing protein YhhA,1
glutathione hydrolase proenzyme,1
putative heat shock chaperone,1
putative endonuclease YhhZ,1
N-acetyltransferase YhhY,1
putative oxidoreductase YhhX,1
"D-gluconate kinase, thermostable",1
MarC family putative inner membrane protein YhgN,1
"limit dextrin alpha-1,6-glucohydrolase",1
glutathione reductase (NADPH),1
DNA-binding transcriptional activator RtcR,1
"Nif11 family protein, partial",1
"Nif11-like leader peptide family RiPP precursor, partial",1
heat shock protein Hsp15,1
DNA-binding transcriptional activator MalT,1
iron-sulfur cluster carrier protein NfuA,1
DNA utilization protein YhgH,1
pimeloyl-acyl carrier protein methyl ester esterase,1
Fe(2(+)) transport protein FeoC,1
Fe(2(+)) transporter FeoB,1
Fe(2(+)) transport protein A,1
RNA-binding protein YhgF,1
DNA-binding transcriptional dual regulator OmpR,1
sensor histidine kinase EnvZ,1
aerobic glycerol 3-phosphate dehydrogenase,1
glutamate decarboxylase A,1
dipeptide/tripeptide:H(+) symporter DtpB,1
metal phosphate:H(+) symporter PitA,1
putative oxidoreductase YhiN,1
inner membrane protein YhiM,1
DUF4049 domain-containing protein YhiJ,1
putative membrane fusion protein YhiI,1
ABC transporter family protein YhhJ,1
PF15631 family protein YhhH,1
DNA-binding transcriptional repressor NikR,1
Ni(2(+)) ABC transporter ATP binding subunit NikE,1
"DUF4412 domain-containing protein, partial",1
"SirB1 family protein, partial",1
Ni(2(+)) ABC transporter ATP binding subunit NikD,1
branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivF,1
Ni(2(+)) ABC transporter membrane subunit NikB,1
Ni(2(+)) ABC transporter periplasmic binding protein,1
putative transporter YhhT,1
putative transporter YhhS,1
periplasmic bacteriophage sensitivity protein DcrB,1
sulfur transfer protein TusA,1
Zn(2(+))/Cd(2(+))/Pb(2(+)) exporting P-type ATPase,1
PF07947 family protein YhhN,1
DUF2500 domain-containing protein YhhM,1
DUF1145 domain-containing protein YhhL,1
PanD maturation factor,1
L-leucine/L-phenylalanine ABC transporter periplasmic binding protein,1
branched chain amino acid/phenylalanine ABC transporter membrane subunit LivH,1
branched chain amino acid/phenylalanine ABC transporter membrane subunit LivM,1
branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivG,1
Ni(2(+)) ABC transporter membrane subunit NikC,1
MULTISPECIES: IS4-like element IS231A family transposase,1
inner membrane protein YidG,1
uncharacterized protein YidF,1
"MULTISPECIES: terminase large subunit domain-containing protein, partial",1
MULTISPECIES: zwittermicin A synthase ZmaJ,1
D-galactonate:H(+) symporter,1
colicin M resistance protein,1
DUF3748 domain-containing galacturonate catabolism protein YidR,1
DUF1375 domain-containing putative lipoprotein YidQ,1
small heat shock protein IbpA,1
small heat shock protein IbpB,1
putative transport protein YidE,1
putative DNA-binding transcriptional regulator YidP,1
putative DNA-binding transcriptional regulator YidL,1
outer membrane protein YiaT,1
putative sulfatase/phosphatase YidJ,1
putative inner membrane protein YidI,1
DUF202 domain-containing inner membrane protein YidH,1
histone acetyltransferase ELP3 family,1
MULTISPECIES: ATP synthase F1 subunit alpha,1
"DUF3160 domain-containing protein, partial",1
MULTISPECIES: general secretion pathway protein GspM,1
MULTISPECIES: redox-active protein,1
MULTISPECIES: pertactin-like passenger domain-containing protein,1
"putative ABC transporter, permease protein",1
"excisionase/Xis, DNA-binding protein",1
embryonic protein DC-8,1
oligopeptide-binding protein oppA,1
MULTISPECIES: calcium-binding and coiled-coil domain-containing protein 1,1
putative transporter YidK,1
cryptic 6-phospho-beta-glucosidase B,1
cryptic carbohydrate-specific outer membrane porin,1
putative hydrolase YieL,1
"MULTISPECIES: cyclic-phosphate processing receiver domain-containing protein, partial",1
MULTISPECIES: beta-lactam sensor/signal transducer,1
"fosmidomycin resistance protein, partial",1
"MULTISPECIES: DUF3937 family protein, partial",1
"protein VrrB, partial",1
DNA-binding transcriptional dual regulator YidZ,1
efflux pump MdtL,1
tryptophan:H(+) symporter TnaB,1
tnaAB operon leader peptide,1
5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit,1
RNase P protein component,1
MULTISPECIES: IS4-like element IS231C family transposase,1
recombination mediator protein RecF,1
DUF937 domain-containing protein YidB,1
sugar phosphatase YidA,1
MULTISPECIES: pesticidal crystal protein Cry1Ba,1
"DUF4256 domain-containing protein, partial",1
MULTISPECIES: IS4-like element ISBth4 family transposase,1
"ribose operon transcriptional repressor RbsR, partial",1
MULTISPECIES: TnP I resolvase,1
MULTISPECIES: pesticidal crystal protein Cry1Ab,1
"Antitermination protein N, partial",1
MULTISPECIES: IS21-like element IS232 family transposase,1
"spore germination protein GerLC, partial",1
"DUF3973 domain-containing protein, partial",1
MULTISPECIES: IS21-like element IS232 family helper ATPase IstB,1
"bacitracin resistance undecaprenyl-diphosphatase, partial",1
beta sliding clamp,1
lipopolysaccharide core biosynthesis protein WaaZ,1
"gas vesicle structural protein GvpA, partial",1
ADP-heptose--LPS heptosyltransferase 2,1
ADP-L-glycero-D-mannoheptose 6-epimerase,1
protein HtrL,1
divergent polysaccharide deacetylase domain-containing protein YibQ,1
putative sulfurtransferase YibN,1
reduced glutaredoxin 3,1
putative ADP-heptose:LPS heptosyltransferase 4,1
ADP-heptose:LPS heptosyltransferase 1,1
DNA-binding transcriptional dual regulator LldR,1
lactate/glycolate:H(+) symporter LldP,1
DUF2810 domain-containing protein YibL,1
transcriptional repressor MtlR,1
multidrug efflux pump EmrD,1
DUF3302 domain-containing protein YibI,1
inner membrane protein YibH,1
tetratricopeptide-like domain-containing protein YibG,1
putative lyase containing HEAT-repeat,1
rhs element protein RhsA,1
glutathione transferase-like protein YibF,1
"DUF7427 family protein, partial",1
tRNA (cytidine/uridine-2'-O)-ribose methyltransferase,1
putative electron transport protein YsaA,1
"orn/DAP/Arg decarboxylase 2, partial",1
"phage shock protein PspA, partial",1
selenocysteyl-tRNA-specific translation elongation factor,1
DUF3302 domain-containing protein YiaW,1
putative membrane fusion protein YiaV,1
DNA-binding transcriptional activator YiaU,1
mannitol-specific PTS enzyme IICBA component,1
ilvBN operon leader peptide,1
acetohydroxy acid synthase I subunit IlvB,1
acetohydroxy acid synthase I subunit IlvN,1
sensor histidine kinase UhpB,1
inner membrane protein sensing glucose-6-phosphate,1
adenine transporter,1
DUF1198 domain-containing protein YicN,1
purine ribonucleoside exporter,1
lipoprotein-28,1
putative transporter YicL,1
putative exporter SetC,1
putative xyloside transporter YicJ,1
ISKra4-like element ISLdr1 family transposase,1
fibronectin-binding SSURE repeat-containing protein,1
lipopolysaccharide core heptose (II) kinase,1
AsmA family protein YicH,1
xanthine:H(+) symporter XanP,1
glutamate:sodium symporter,1
tRNA (Gm18) 2'-O-methyltransferase,1
PF03458 family inner membrane protein YicG,1
putative RNase adaptor protein YicC,1
"acetylornithine/succinylornithine family transaminase, partial",1
fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase,1
RadC-like JAB domain-containing protein YicR,1
KDO transferase,1
lipopolysaccharide core heptosyltransferase 3,1
lipopolysaccharide core heptose (I) kinase,1
lipopolysaccharide core biosynthesis protein WaaS,1
"UDP-D-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase",1
"UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase",1
alpha-D-xyloside xylohydrolase,1
"MULTISPECIES: DUF6603 domain-containing protein, partial",1
"MULTISPECIES: urea amidolyase associated protein UAAP1, partial",1
"MULTISPECIES: methionyl-tRNA formyltransferase, partial",1
"MULTISPECIES: lipase, partial",1
"MULTISPECIES: SGNH/GDSL hydrolase family protein, partial",1
"MULTISPECIES: ATP-dependent 6-phosphofructokinase, partial",1
"MULTISPECIES: cellulosome protein, partial",1
"MULTISPECIES: DUF1275 family protein, partial",1
"MULTISPECIES: TetR-like C-terminal domain-containing protein, partial",1
"MULTISPECIES: FdhF/YdeP family oxidoreductase, partial",1
"MULTISPECIES: 4-hydroxy-tetrahydrodipicolinate synthase, partial",1
"MULTISPECIES: prephenate dehydrogenase, partial",1
"MULTISPECIES: fumarate reductase/succinate dehydrogenase flavoprotein subunit, partial",1
"MULTISPECIES: DUF5667 domain-containing protein, partial",1
lysine:cadaverine antiporter,1
"MULTISPECIES: AAC(3) family N-acetyltransferase, partial",1
"MULTISPECIES: NPCBM/NEW2 domain-containing protein, partial",1
"MULTISPECIES: HEXXH motif domain-containing protein, partial",1
"MULTISPECIES: N-acyl-D-amino-acid deacylase family protein, partial",1
"MULTISPECIES: ADP-ribosylglycohydrolase family protein, partial",1
"MULTISPECIES: S-methyl-5-thioribose-1-phosphate isomerase, partial",1
"MULTISPECIES: LpqB family beta-propeller domain-containing protein, partial",1
"MULTISPECIES: sugar transferase, partial",1
"MULTISPECIES: DUF692 domain-containing protein, partial",1
"MULTISPECIES: DAK2 domain-containing protein, partial",1
"MULTISPECIES: ATP-dependent helicase, partial",1
"MULTISPECIES: nucleic acid/nucleotide deaminase domain-containing protein, partial",1
"MULTISPECIES: class III lanthionine synthetase LanKC, partial",1
"MULTISPECIES: DUF1304 domain-containing protein, partial",1
"MULTISPECIES: molybdenum cofactor guanylyltransferase, partial",1
protein YkgS,1
orphan antitoxin YagB,1
"MULTISPECIES: gephyrin-like molybdotransferase Glp, partial",1
"MULTISPECIES: Mut7-C RNAse domain-containing protein, partial",1
"MULTISPECIES: NAD(P)H-hydrate dehydratase, partial",1
"MULTISPECIES: holo-ACP synthase, partial",1
protein YldA,1
protein TfaX,1
"MULTISPECIES: M14 family zinc carboxypeptidase, partial",1
"MULTISPECIES: TIGR04222 domain-containing membrane protein, partial",1
"MULTISPECIES: molybdate ABC transporter permease subunit, partial",1
"MULTISPECIES: flavodoxin domain-containing protein, partial",1
"MULTISPECIES: bifunctional riboflavin kinase/FAD synthetase, partial",1
"MULTISPECIES: tRNA pseudouridine(55) synthase TruB, partial",1
"MULTISPECIES: DUF3553 domain-containing protein, partial",1
"MULTISPECIES: AIR synthase-related protein, partial",1
"MULTISPECIES: AIR synthase related protein, partial",1
"MULTISPECIES: UDP-N-acetyl glucosamine 2-epimerase, partial",1
"MULTISPECIES: 6-phospho-beta-glucosidase, partial",1
"MULTISPECIES: ThuA domain-containing protein, partial",1
"MULTISPECIES: DUF5107 domain-containing protein, partial",1
"MULTISPECIES: nitrilase-related carbon-nitrogen hydrolase, partial",1
"MULTISPECIES: bleomycin resistance protein, partial",1
"MULTISPECIES: oxidoreductase C-terminal domain-containing protein, partial",1
MULTISPECIES: glycine cleavage system H protein,1
"MULTISPECIES: DUF5682 family protein, partial",1
"MULTISPECIES: glycoside hydrolase family 75 protein, partial",1
"MULTISPECIES: phosphoketolase family protein, partial",1
"MULTISPECIES: cryptochrome/photolyase family protein, partial",1
"MULTISPECIES: FUSC family protein, partial",1
"MULTISPECIES: PucR family transcriptional regulator ligand-binding domain-containing protein, partial",1
"MULTISPECIES: zinc-dependent alcohol dehydrogenase family protein, partial",1
"MULTISPECIES: 5-oxoprolinase subunit PxpB, partial",1
"MULTISPECIES: SSI family serine proteinase inhibitor, partial",1
"MULTISPECIES: PASTA domain-containing protein, partial",1
"MULTISPECIES: CU044_5270 family protein, partial",1
"MULTISPECIES: RsmB/NOP family class I SAM-dependent RNA methyltransferase, partial",1
"MULTISPECIES: LamG-like jellyroll fold domain-containing protein, partial",1
"MULTISPECIES: XdhC family protein, partial",1
"MULTISPECIES: quinone oxidoreductase family protein, partial",1
"MULTISPECIES: DUF4239 domain-containing protein, partial",1
"MULTISPECIES: aKG-HExxH-type peptide beta-hydroxylase, partial",1
MULTISPECIES: enkurin domain-containing protein,1
"MULTISPECIES: S8 family peptidase, partial",1
"MULTISPECIES: DUF4429 domain-containing protein, partial",1
"MULTISPECIES: amidase family protein, partial",1
"MULTISPECIES: SCO5717 family growth-regulating ATPase, partial",1
"MULTISPECIES: FtsK/SpoIIIE domain-containing protein, partial",1
"MULTISPECIES: DNA polymerase III subunit gamma and tau, partial",1
"MULTISPECIES: septum formation initiator family protein, partial",1
"MULTISPECIES: GAF and ANTAR domain-containing protein, partial",1
"MULTISPECIES: LUD domain-containing protein, partial",1
"MULTISPECIES: bifunctional salicylyl-CoA 5-hydroxylase/oxidoreductase, partial",1
putative toxic peptide IbsD,1
toxic peptide IbsC,1
uncharacterized protein YqfG,1
uncharacterized protein YqeL,1
cell envelope stress response protein YqcG,1
toxic peptide ShoB,1
putative membrane protein YpdK,1
"MULTISPECIES: DUF3492 domain-containing protein, partial",1
"MULTISPECIES: dihydroxy-acid dehydratase, partial",1
"MULTISPECIES: DUF309 domain-containing protein, partial",1
"MULTISPECIES: PfkB family carbohydrate kinase, partial",1
"MULTISPECIES: alpha-mannosidase, partial",1
"MULTISPECIES: cellulose-binding domain-containing protein, partial",1
uncharacterized protein YjeV,1
uncharacterized protein YshB,1
"MULTISPECIES: UDP-glucose--sterol glucosyltransferase, partial",1
"MULTISPECIES: lipopolysaccharide biosynthesis protein, partial",1
"MULTISPECIES: N-acetylglutaminylglutamine amidotransferase, partial",1
"MULTISPECIES: alpha-L-fucosidase, partial",1
"MULTISPECIES: FAD-binding and (Fe-S)-binding domain-containing protein, partial",1
PF00078 domain-containing protein YkfC,1
IS1 repressor TnpA,1
"MULTISPECIES: glycoside hydrolase family 13 protein, partial",1
protein YadW,1
protein YacM,1
protein YabR,1
protein YabQ,1
putative uncharacterized protein YabP,1
uncharacterized protein MbiA,1
small protein MntS,1
DUF1116 domain-containing protein YlbE,1
protein IroK,1
small regulatory membrane protein PmrR,1
leader peptide MgtL,1
"MULTISPECIES: molybdopterin molybdotransferase MoeA, partial",1
"MULTISPECIES: MtrAB system histidine kinase MtrB, partial",1
"MULTISPECIES: class F sortase, partial",1
"MULTISPECIES: ribonuclease E/G, partial",1
IS1 transposase B,1
protein YqfI,1
protein YqfH,1
putative lipoprotein YgeQ,1
YgdT,1
MULTISPECIES: inner membrane complex domain-containing protein,1
putative uncharacterized protein YpdJ,1
protein YdfO,1
putative methyltransferase YfdM,1
protein YpaB,1
uncharacterized protein YojO,1
SWIM zinc finger domains-containing protein YehQ,1
PF05406 family protein YehF,1
putative uncharacterized protein YoeF,1
putative uncharacterized protein YeeW,1
protein YagJ,1
protein YnfP,1
protein YdfX,1
protein YdfW,1
protein YnfS,1
IS5-like element ISHph1 family transposase,1
hoefavidin,1
rpoE leader peptide,1
putative prophage DNA-packaging protein NohA,1
protein YnfT,1
putative transporter YdfJ,1
fimbrial usher domain-containing protein YdeT,1
protein YneP,1
protein YddY,1
putative uncharacterized protein YddL,1
protein YecU,1
protein YecV,1
protein MdtU,1
putative zinc-binding protein YnfU,1
protein MgtT,1
protein YncP,1
protein YnaN,1
protein YmiD,1
protein YsdD,1
putative PTS enzyme II component GlvC,1
protein YbiE,1
protein YbgV,1
protein YtiB,1
protein YadX,1
PBP-1Bgamma,1
DUF2684 domain-containing protein YqgD,1
uncharacterized protein YtiA,1
iraD leader peptide,1
protein YtiD,1
protein YtiC,1
protein YzcX,1
DUF5507 domain-containing protein YpjC,1
DUF5508 domain-containing protein YpjB,1
putative arsenate reductase-like protein YfjU,1
putative PTS enzyme II component GlvB,1
truncated RNase PH,1
PF15596 family protein YibV,1
uncharacterized protein YrhD,1
putative uncharacterized protein YzgL,1
protein YqhI,1
putative DNA-binding transcriptional regulator YghO,1
putative uncharacterized protein YjiT,1
"MULTISPECIES: CGNR zinc finger domain-containing protein, partial",1
"MULTISPECIES: cysteine desulfurase-like protein, partial",1
"MULTISPECIES: lactonase family protein, partial",1
"MULTISPECIES: sirohydrochlorin chelatase, partial",1
"MULTISPECIES: DUF6807 family protein, partial",1
"MULTISPECIES: RpiB/LacA/LacB family sugar-phosphate isomerase, partial",1
"MULTISPECIES: apolipoprotein N-acyltransferase, partial",1
MULTISPECIES: acyl-CoA dehydrogenase type 2,1
"MULTISPECIES: glycosyltransferase 87 family protein, partial",1
"MULTISPECIES: D-alanyl-D-alanine carboxypeptidase family protein, partial",1
"MULTISPECIES: NADPH-dependent 2,4-dienoyl-CoA reductase, partial",1
"MULTISPECIES: pectinesterase family protein, partial",1
"MULTISPECIES: phenylalanine--tRNA ligase subunit beta, partial",1
"MULTISPECIES: precorrin-6y C5,15-methyltransferase (decarboxylating) subunit CbiE, partial",1
leucine-rich repeat domain-containing protein YddK,1
"MULTISPECIES: LamB/YcsF family protein, partial",1
"MULTISPECIES: GcvT family protein, partial",1
"MULTISPECIES: ArsA family ATPase, partial",1
"MULTISPECIES: transglutaminaseTgpA domain-containing protein, partial",1
putative tail fiber assembly protein TfaD,1
protein YlcJ,1
putative DNA-binding transcriptional regulator YlbG,1
soluble Cu(+) chaperone,1
protein YkiD,1
protein YkiC,1
putative uncharacterized protein YahH,1
protein YahV,1
putative LysR family substrate binding domain-containing protein YagP,1
protein YkgV,1
"MULTISPECIES: 5,6-dimethylbenzimidazole synthase, partial",1
protein YncO,1
protein YnaM,1
putative prophage tail length tape measure domain-containing protein YnaA,1
putative uncharacterized protein YdaY,1
putative uncharacterized protein YdaW,1
PRKRIP1 family protein,1
ISKra4-like element ISRli1 family transposase,1
Haemagluttinin domain protein,1
protein YnfQ,1
protein YnfR,1
protein YliM,1
protein YbgU,1
inactive transposase YbfQ,1
uncharacterized protein YmjD,1
"MULTISPECIES: CAP domain-containing protein, partial",1
protein YmjE,1
protein YmiC,1
putative uncharacterized protein YchS,1
protein YmgM,1
protein YmgL,1
protein YmgK,1
protein BeeE,1
chimeric replication protein/phage terminase YmfN,1
putative protein YmfH,1
protein YmdG,1
protein YmcF,1
"MULTISPECIES: dihydroxyacetone kinase subunit DhaL, partial",1
MULTISPECIES: IS5-like element ISSsv1 family transposase,1
"MULTISPECIES: SsgA family sporulation/cell division regulator, partial",1
"MULTISPECIES: NAD(P)H-dependent oxidoreductase, partial",1
putative uncharacterized protein YmjC,1
DUF853 domain-containing protein YjgR,1
lipopolysaccharide transport system protein LptG,1
aminopeptidase A/I,1
ribonuclease E inhibitor protein B,1
ornithine carbamoyltransferase ArgI,1
protein YjgL,1
DUF386 domain-containing toxin-antitoxin biofilm protein TabA,1
putative transcriptional regulator BdcR,1
c-di-GMP-binding biofilm dispersal mediator protein,1
RutC family protein YjgH,1
"aspartate carbamoyltransferase, PyrI subunit",1
"enamine/imine deaminase, redox-regulated chaperone",1
Mg(2(+)) importing P-type ATPase,1
lipopolysaccharide transport system protein LptF,1
putative membrane protein YohP,1
trehalose-specific PTS enzyme IIBC component,1
metalloprotease subunit TldE,1
putative ribosome biogenesis factor YjgA,1
"UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate ligase",1
"fructose-1,6-bisphosphatase 1",1
galactofuranose ABC transporter putative membrane subunit YjtF,1
galactofuranose ABC transporter putative membrane subunit YtfT,1
endoribonuclease toxin ChpB,1
ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system,1
gamma-glutamylamine cyclotransferase family protein YtfP,1
LeuA allosteric (dimerization) domain-containing protein,1
